adult,backdrop_path,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count,genres,year,month,day,primary_country,primary_genre
False,/8zbAoryWbtH0DKdev8abFAjdufy.jpg,66732,['US'],en,Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",1393.7498,/uOOtwVbSr4QDjAGIifLDwpb2Pdl.jpg,2016-07-15,Stranger Things,8.588,20079,"['Sci-Fi & Fantasy', 'Mystery', 'Action & Adventure']",2016.0,7.0,15.0,US,Sci-Fi & Fantasy
False,/lr0h0OBj7QOEvkaX5g3JWoaKZsI.jpg,238458,['KR'],ko,캐셔로,An ordinary man who inherits super strength discovers a greater evil out to steal his power. The one catch? Every use drains money from his wallet.,127.2497,/dm6RoaKgkGUxckamMDzsbqtLhFv.jpg,2025-12-26,Cashero,7.274,42,"['Action & Adventure', 'Drama']",2025.0,12.0,26.0,KR,Action & Adventure
False,/n69QxkZ0RRc6PMNnxD9U0MZnLzl.jpg,4656,['US'],en,Raw,"A regularly scheduled, live, year-round program featuring some of the biggest WWE Superstars.",120.4042,/pv5WNnLUo7mpT8k901Lo8UovrqI.jpg,1993-01-11,Raw,6.787,347,['Reality'],1993.0,1.0,11.0,US,Reality
False,/ncftkNAjIz2PBbUMY7T0CHVJP8d.jpg,63174,['US'],en,Lucifer,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",96.9141,/ekZobS8isE6mA53RAiGDG93hBxL.jpg,2016-01-25,Lucifer,8.437,15239,"['Crime', 'Sci-Fi & Fantasy']",2016.0,1.0,25.0,US,Crime
False,/foGkPxpw9h8zln81j63mix5B7m8.jpg,71912,['US'],en,The Witcher,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.",88.908,/AoGsDM02UVt0npBA8OvpDcZbaMi.jpg,2019-12-20,The Witcher,7.958,6470,"['Drama', 'Action & Adventure']",2019.0,12.0,20.0,US,Drama
False,/zzlz3ElVtdm07yixMKMgHdFFkCz.jpg,272586,['SE'],sv,Synden,"When a teenager goes missing, a detective with personal ties to the case joins a tense investigation that reveals fierce loyalties and old family feuds.",74.8078,/kAy0vnaxCPcLrmPCHWgfwWoWelL.jpg,2026-01-02,Land of Sin,5.333,24,"['Drama', 'Crime', 'Mystery']",2026.0,1.0,2.0,SE,Drama
False,/2meX1nMdScFOoV4370rqHWKmXhY.jpg,93405,['KR'],ko,오징어 게임,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",76.8891,/1QdXdRYfktUSONkl1oD5gc6Be0s.jpg,2021-09-17,Squid Game,7.858,17032,"['Action & Adventure', 'Mystery', 'Drama']",2021.0,9.0,17.0,KR,Action & Adventure
False,/dg3OindVAGZBjlT3xYKqIAdukPL.jpg,42009,['GB'],en,Black Mirror,"Twisted tales run wild in this mind-bending anthology series that reveals humanity's worst traits, greatest innovations and more.",72.4013,/seN6rRfN0I6n8iDXjlSMk1QjNcq.jpg,2011-12-04,Black Mirror,8.288,5883,"['Sci-Fi & Fantasy', 'Drama', 'Mystery']",2011.0,12.0,4.0,GB,Sci-Fi & Fantasy
False,/gzOIymABxmetAECXtazEYCpMmfb.jpg,78191,['US'],en,You,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",72.8986,/oANi0vEE92nuijiZQgPZ88FSxqQ.jpg,2018-09-09,You,8.022,3752,['Crime'],2018.0,9.0,9.0,US,Crime
False,/AeJgnEXaFcsGzU5Y4Nrq9WggAQ5.jpg,119051,['US'],en,Wednesday,"Smart, sarcastic and a little dead inside, Wednesday Addams investigates twisted mysteries while making new friends — and foes — at Nevermore Academy.",62.8968,/36xXlhEpQqVVPuiZhfoQuaY4OlA.jpg,2022-11-23,Wednesday,8.367,10175,"['Sci-Fi & Fantasy', 'Mystery', 'Comedy']",2022.0,11.0,23.0,US,Sci-Fi & Fantasy
False,/1gZrOa2E9DOohEvSLLBJqus2zGu.jpg,15226,['IN'],hi,CID,"The first thrilling investigative series on Indian Television, is today one of the most popular shows on Sony Entertainment Television. Dramatic and absolutely unpredictable, Crime Investigation Department (C.I.D.) has captivated viewers over the last eleven years and continues to keep audiences glued to their television sets with its thrilling plots and excitement. Also interwoven in its fast-paced plots are the personal challenges that the C.I.D. team faces with non-stop adventure, tremendous pressure and risk, all in the name of duty. The series consists of hard-core police procedural stories dealing with investigation, detection and suspense. The protagonists of the serial are an elite group of police officers belonging to the Crime Investigation Department of the police force, led by ACP Pradyuman.",59.1553,/26uEr3docGiJVEDlqepAjf99Vlq.jpg,1998-01-21,CID,5.741,27,"['Action & Adventure', 'Crime', 'Drama', 'Mystery']",1998.0,1.0,21.0,IN,Action & Adventure
False,/m6eRgkR1KC6Mr6gKx6gKCzSn6vD.jpg,4194,['US'],en,Star Wars: The Clone Wars,"Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",58.0253,/e1nWfnnCVqxS2LeTO3dwGyAsG2V.jpg,2008-10-03,Star Wars: The Clone Wars,8.5,2251,"['Action & Adventure', 'Sci-Fi & Fantasy', 'Animation']",2008.0,10.0,3.0,US,Action & Adventure
False,/75HgaphatW0PDI3XIHQWZUpbhn6.jpg,70523,['DE'],de,Dark,A missing child sets four families on a frantic hunt for answers as they unearth a mind-bending mystery that spans three generations.,58.1472,/apbrbWs8M9lyOpJYU5WXrpFbk1Z.jpg,2017-12-01,Dark,8.424,7293,"['Crime', 'Drama', 'Sci-Fi & Fantasy', 'Mystery']",2017.0,12.0,1.0,DE,Crime
False,/cLTAda6fMRirkCY1xfO4pmcHVkk.jpg,200709,['KR'],ko,약한영웅,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.",53.0389,/hS9VVF5ffTVWNoC9B48QNsZFGy9.jpg,2022-11-18,Weak Hero,8.604,332,"['Action & Adventure', 'Drama']",2022.0,11.0,18.0,KR,Action & Adventure
False,/1jBYTcOuiPNJsTcfYk66bbVLSBz.jpg,244244,"['GB', 'US']",en,Run Away,A desperate father searching for his runaway daughter gets caught up in a murder case — and stumbles upon secrets which could destroy his family for good.,54.6964,/frKxKytEHIA2vXg4RAz14Sc0UmS.jpg,2026-01-01,Run Away,6.521,24,"['Drama', 'Mystery']",2026.0,1.0,1.0,GB,Drama
